번호,GMP 품목군,구분
49,치과용 임플란트 시스템(I) (Dental Implant System(I)),C20000 치과용 임플란트 시스템 Dental Implant System
50,치과용 임플란트 시스템(II) (Dental Implant System(II)),"C20000 치과용 임플란트 시스템(3,4등급) Dental Implant System(3,4 class)"
51,인체조직 또는 기능 대치품 (Substitute of Human Tissue or Body Function),B04000 인체조직 또는 기능 대치품 Human tissue and organ substitute
52,치과용 골이식재 (Dental Bone Graft Material),C22000 치과용 골이식재 Dental Bone Graft Material
53,치주 조직재생 유도재 (Guided Bone and Tissue Regeneration Material),C23000 치주 조직재생 유도재 Guided Bone and Tissue Regeneration Material
54,부목 (Splints),B05000 부목 Splints
55,외과용품 (Surgical supplies),B07000 외과용품(창상피복재 제외) Surgical supplies
56,창상피복재 (Dressing),B07070 창상피복재 Dressing
57,콘돔 (Condom),B08000 콘돔 Condom
58,피임용구 (Contraceptive device),B09000 피임용구 Contraceptive device
59,치과용 합금 ((Dental Alloy),C01000 치과 가공용 합금 Dental Processing Alloy
59,치과용 합금 ((Dental Alloy),C02000 치과 주조용 합금 Dental Casting alloy
59,치과용 합금 ((Dental Alloy),C03000 메탈 세라믹 합금 Metal-Ceramic Alloy
59,치과용 합금 ((Dental Alloy),C04000 납착용 합금 Soldering Alloy
59,치과용 합금 ((Dental Alloy),C05000 가공용 합금 Fabricated Alloy
60,치과처치용 재료 (Other Materials for Dental Treatment),C06000 직접 수복재료 Direct Restorative Material
60,치과처치용 재료 (Other Materials for Dental Treatment),C07000 심미 보철재료 Esthetic Prosthetic Material
60,치과처치용 재료 (Other Materials for Dental Treatment),C08000 의치재료 Denture Making Material/Denture Material
60,치과처치용 재료 (Other Materials for Dental Treatment),C09000 의치상재료 denture material
60,치과처치용 재료 (Other Materials for Dental Treatment),C11000 치과접착용시멘트 Dental Adhesive Cement
60,치과처치용 재료 (Other Materials for Dental Treatment),C12000 치과용 접착제 Dental Bonding Agent
60,치과처치용 재료 (Other Materials for Dental Treatment),C10000 근관 치료재료 Material For Root Canal Therapy
60,치과처치용 재료 (Other Materials for Dental Treatment),C13000 치과용 인상재료 Dental Impression Material
60,치과처치용 재료 (Other Materials for Dental Treatment),C14000 치과용 왁스 Dental Wax
60,치과처치용 재료 (Other Materials for Dental Treatment),C16000 예방 치과재료 Preventive Dental Material
60,치과처치용 재료 (Other Materials for Dental Treatment),C17000 치과 교정재료 Orthodontic Material
60,치과처치용 재료 (Other Materials for Dental Treatment),C24000 치과용 진단제 dental diagnosis Material
60,치과처치용 재료 (Other Materials for Dental Treatment),C25000 보철물 분리재료 Prosthetic Adhesive Remover
60,치과처치용 재료 (Other Materials for Dental Treatment),C26000 기타 보철재료 Other Prosthetic Material
60,치과처치용 재료 (Other Materials for Dental Treatment),C27000 기타 보존재료 Other Restorative-Endodontic Material
61,유헬스케어 의료기기(I) (Medical Device for Ubiquitous Healthcare(I)),A90000 유헬스케어 의료기기 Medical Device for Ubiquitous Healthcare
62,유헬스케어 의료기기(II) (Medical Device for Ubiquitous Healthcare(II)),"A90000 유헬스케어 의료기기(3,4등급) Medical Device for Ubiquitous Healthcare"
63,혁신의료기기소프 트웨어,「의료기기산업법」제24조(혁신의료기기소프트웨어 특례) 적용 의료기기
